names,Pitch,SpectralCentroid,SpectralSpread,SpectralSkewness,SpectralKurtosis,SpectralFlatness,SpectralCrest,SpectralSlope,SpectralDecrease,SpectralRollOff,SpectralVariation,SpectralFlux,HarmonicSpectralDeviation,Tristimulus_1,Tristimulus_2,Tristimulus_3,HarmonicOddToEvenRatio,Inharmonicity,HarmonicEnergy,NoiseEnergy,Noisiness,HarmonicToNoiseEnergy,PartialsToNoiseEnergy,F1_Hz,F2_Hz,F3_HZ,F4_Hz,Rate,Depth,Regularity,x,y,z
bellou_e_3,196.523395694505,1218.40467744424,888.227658144127,1.3527684598276,4.69500508380274,2.936058025625e-06,0.245916854214292,-3.26648808721178e-07,0.0289700040852703,4005.08965425604,0.611334090554235,0.0023609420019442,0.0057942507633216,0.131503666367583,0.508874088582825,0.294666337741895,0.764571153357941,0.15691403375203,0.0147628561881751,0.0185206035223758,0.474285283728712,0.81360782761836,1.10843610384822,816.29366,1748.768811,3060.919531,4064.548011,5.260019084,0.038702942,0.002177052,8.698087,-1.5670135,-0.7880104
bellou_e_4,330.416320207854,1352.67480655436,904.73560484383,1.04096360411633,3.49730339433812,4.32640618216407e-08,0.252490917735022,9.39362574980109e-07,0.0192296524001699,2731.06339200226,0.736906916256468,0.0022582818531511,0.0067745548976352,0.186863660491806,0.614412782524512,0.166105123025858,0.584234004510007,0.175324047027192,0.0178208428250646,0.0320280736300915,0.558903555896972,0.525029504626403,0.789226645523514,838.346127,1421.880626,1985.177471,3120.789976,1.9140625,0.102563249,0.503365979,9.918334,0.4242453,-1.6566533
bellou_e_5,292.418463282046,2128.25205284495,1274.11758670992,0.614514795552518,2.80999719780377,4.8674006100335306e-09,0.183215545489763,1.19546506844309e-06,0.0076300374228988,7662.58818444999,0.768564434636708,0.0012158057875547,0.0095619867872876,0.0642004349238919,0.350434164626752,0.58847217516955,3.03445043558187,0.119448876816337,0.0288514013907782,0.0289349315648426,0.469955518241148,1.04881567032718,1.12786095957037,892.8913,2031.121679,3084.912744,4314.328315,4.379634534,0.023206546,0.835075085,8.526437,-0.54508024,-2.2591786
bellou_i_1,248.607141372211,2051.22340249033,1357.90493886514,0.036354052182988,1.67254886205122,1.83381563917598e-07,0.251379873132264,1.00665413445581e-06,0.0183888634852596,3804.81342690097,0.769028604307191,0.0016640682569671,0.0060420468513648,0.133909793793898,0.527868142763914,0.33836744042616,0.232224314529749,0.133338515287645,0.0107944608218621,0.0153040787564185,0.483957319831605,0.871989850274888,1.0662980701587,530.294345,2230.446908,3201.99732,3842.137738,6.890625,0.016850252,0.3576007,9.423634,-3.7162273,-0.37601385
bellou_i_2,442.839670029662,2332.10681430919,1558.56550685011,0.552855531644778,3.04218530796144,1.6293740815600201e-09,0.239875990794953,8.78303160735517e-07,0.0095315919560856,6330.46329719309,0.803322102085685,0.0015313885260022,0.0106614188794374,0.438027139906947,0.126469669179747,0.43761085686874,14.2840214660783,0.0851715210922162,0.0315520628993101,0.0297861973466015,0.481970459336829,1.03162011362919,1.07485218797784,532.306623,2218.690386,3089.126623,4255.013325,1.832613032,0.094450232,0.136540753,10.582825,0.4545642,-1.3399781
bellou_i_3,221.867918450727,1564.6012621316,1332.74903026669,0.538507186695633,1.71514559433078,1.09356681040983e-06,0.403496925683929,2.85583708189781e-07,0.0273639229202818,3489.07738768134,0.857548302777136,0.0032006850371471,0.0073316020689497,0.125854813186746,0.697289263508837,0.124013407299742,0.106308236822127,0.134998265767568,0.0185798628603553,0.0248476047324029,0.478797788469078,0.887866466870178,1.08856436701061,455.770665,2441.231107,2586.822864,3148.608488,5.451443829,0.041208784,0.009747029,8.653065,0.4481983,-2.3752751
bellou_i_4,351.583591031385,2306.76379146131,1313.78454012858,-0.260143745079856,1.89278494433622,2.49501996965945e-08,0.227782091875177,1.71664240563166e-06,0.014442590995907,5160.81606072204,0.775161137790119,0.0018755519330526,0.0125529025560981,0.30179845945905,0.0519013507770148,0.648267412920907,5.65247481928917,0.0750521034636981,0.0235195446177227,0.022655365615972,0.439428227298294,1.26549444151669,1.27568448697124,372.683214,2347.917478,3033.193169,3150.732945,8.159950658,0.012070344,0.056205264,9.679663,0.76507175,-2.5524435
bellou_i_5,392.819824216611,1695.89221436802,1184.25434284656,0.261625145178177,1.62896259700977,2.26894892145994e-10,0.301439364315922,1.9707646421341e-06,0.013636264854784,4534.73808992699,0.67763071423921,0.0012978245546914,0.0093650148222123,0.42319049095129,0.161112687786383,0.445917501866843,2.36213305030112,0.0808823299712504,0.0118762631653179,0.0105324374915265,0.442267993138005,1.22261323963278,1.26107259082541,525.95492,1699.16539,2380.432065,3138.427056,1.013327206,0.070975986,0.024849438,7.590794,0.48792788,-3.7153878
bellou_i_6,324.6460687011,2127.90689755265,1276.22055456957,-0.259604045513056,1.71924814006323,7.74675753753897e-09,0.238401197427608,1.93870235522294e-06,0.0194913348395225,4253.29430441628,0.723684727078416,0.0020692801689651,0.0061843380557554,0.309203842644945,0.0932887020572296,0.596693571278182,4.96071548181278,0.0752147219878065,0.0144539098589869,0.0153059660624143,0.480796662923057,0.944830894388499,1.07988132430119,391.568393,2299.015871,2903.91025,3290.670217,5.188723645,0.031443904,0.23012743,8.236574,1.0204597,-3.388689
bellou_i_7,442.200627531918,1092.39834003809,923.046766455089,1.24548807043836,3.36231032516813,3.79270404572448e-10,0.547322370192686,2.91280327681882e-06,0.0330108678336469,3076.25408525263,0.671588054580139,0.0055119224339305,0.0096536790660109,0.564936843049737,0.239750836306645,0.196935423529306,13.386798112431,0.051124444639252,0.0468855464803116,0.0361955696277923,0.429910330988929,1.32270029147485,1.3260664564853,566.799477,702.643574,2180.011328,3073.49452,2.11801998,0.020038686,0.064061857,10.836127,0.8143025,-2.6718764
