names,Pitch,SpectralCentroid,SpectralSpread,SpectralSkewness,SpectralKurtosis,SpectralFlatness,SpectralCrest,SpectralSlope,SpectralDecrease,SpectralRollOff,SpectralVariation,SpectralFlux,HarmonicSpectralDeviation,Tristimulus_1,Tristimulus_2,Tristimulus_3,HarmonicOddToEvenRatio,Inharmonicity,HarmonicEnergy,NoiseEnergy,Noisiness,HarmonicToNoiseEnergy,PartialsToNoiseEnergy,time_s,F1_Hz,F2_Hz,F3_HZ,F4_Hz,F0_Hz,x,y
Kazantzidis_e_4,210.385373115849,1690.30559704466,1209.35252420412,0.799124246584824,3.20811370194394,1.9612161879881e-06,0.205371231129813,2.98736220772344e-07,0.0165057534441315,3064.3981617701,0.735894298180318,0.0013002457326231,0.0032204665726214,0.135196069732037,0.463814385024108,0.326387833592759,0.293807157510643,0.237179338638058,0.0083205559493318,0.0147862742359693,0.513830582058808,0.576772669250413,0.946166761801558,0.792455,492.205669,1932.725263,2871.815062,3374.006662,208.915028965288,36.855698,19.907795
Kazantzidis_e_5,126.988783356143,1396.06028458357,1258.3452938532,0.831578331888128,2.28860291968187,0.001390757536163,0.200869958802435,-1.23271908825864e-06,0.031916236337729,3783.14695747697,0.768986350988935,0.0018394095592388,0.00189143186788,0.0715386875491911,0.590949836998378,0.316603346959622,1.25419814499914,0.234910988138464,0.0049895503776999,0.0187321620177152,0.47813274304882,0.392717887208975,1.09147342814061,0.53123,443.747559,1905.07781,2589.640972,3614.40655,127.241581375674,53.66279,15.633879
Kazantzidis_e_6,198.577349448003,1549.96728170564,1022.24159632238,0.335857350164014,2.02661359046069,0.0004065402215907,0.187534486087144,-4.72487135414233e-07,0.0343338407949071,2999.22791485544,0.758134141810734,0.002265771876624,0.0043729729091895,0.119464150688661,0.476811652550838,0.346370836469426,0.548991090994182,0.152668748243039,0.012465032432712,0.0178071767280339,0.476679715385415,0.812198626396146,1.09784466954181,0.685159,490.936962,1897.32468,2416.435995,3425.59079,198.635231737514,39.402756,-16.685213
Kazantzidis_e_7,165.065018176769,1004.84853442768,944.008033383637,1.10269851479903,2.96619667886078,3.40349981104497e-06,0.269336104929606,-6.65063880101463e-07,0.0257947584730204,2123.31257383084,0.836862771738616,0.0026546082260383,0.0043766263451314,0.158609195047785,0.621423698338566,0.159799633054778,1.04803801353676,0.189654471685649,0.0138136309024622,0.0267677057658551,0.485877200644265,0.677043698481616,1.05813320459165,0.648781,442.375444,1941.376518,2506.816058,3498.769887,164.605198379524,39.958023,-17.112135
Kazantzidis_e_8,285.574614334774,1916.61866082374,1227.33993608156,0.883633896083871,3.41141571256978,5.51936866230871e-08,0.250612062895654,8.70082152529074e-07,0.0134668421801848,2505.97137399419,0.783303381156959,0.0017354559478072,0.0111299999836052,0.0572151442706405,0.370571204892555,0.528596919304657,0.0664269728763194,0.12369652206364,0.0206462762443385,0.0256070411245792,0.496364161276202,0.775367296374315,1.01464988412721,0.437041,632.519146,1767.28108,2742.708503,3556.123844,283.875847763324,53.473206,37.858932
Kazantzidis_e_9,141.760108579521,1435.05613301498,1116.68502654334,0.652422252397995,2.48775224079815,1.17881940618547e-07,0.142821819806337,7.0425498609712e-07,0.0104375602124972,3363.25727295319,0.606711400712994,0.0007384632039125,0.0013791590644224,0.105672379378561,0.410291654249948,0.43273244604007,1.50919113961327,0.265096747638821,0.0021972416933801,0.0108880217801163,0.481861478672584,0.499611242216612,1.07528536198543,0.805516,531.530174,1842.315175,2508.765198,3368.782961,140.055708067941,29.839008,-33.41788
Kazantzidis_i_1,196.97798611452,1127.79971136908,1022.2528608293,0.82233662582322,2.20913079191815,1.28722850483924e-10,0.377354802667216,2.13852988020052e-06,0.01072474057693,2806.37300957822,0.754511011590586,0.0019337671925522,0.0025184124614086,0.207332451973683,0.489592195370428,0.206430626588159,0.533094351684139,0.231565593296949,0.0046251727461119,0.0356249614520243,0.491136122414668,0.65200805796213,1.03609540076895,0.63572,413.261168,2276.879519,2293.310077,3416.623319,200.31733122685,-37.86239,20.401865
Kazantzidis_i_10,253.537838232286,2591.13913934738,1476.20686825525,0.521532205940916,3.39667030758774,5.20127942239804e-07,0.118471371781394,2.82100749444947e-07,0.0090571303397958,3656.77934279912,0.754387783683037,0.0008307221137316,0.0019764068308952,0.271184389125308,0.179582024283722,0.464582929121375,0.905000379024715,0.402957213177605,0.0042513133827535,0.023446677017509,0.614613487227575,0.17886863967629,0.627055976555475,0.881077,511.26707,2101.405142,2746.009394,3405.3896,251.97317003131,54.417614,20.485512
Kazantzidis_i_11,140.253269827349,1087.25378342099,1061.9022159883,0.938783107454654,2.45832436547871,5.95986395575824e-07,0.23391632572493,6.26246028769338e-08,0.0173985667491438,1953.83521970873,0.715926600512221,0.0011784218714124,0.0028010873491301,0.221130553669911,0.501347063541106,0.237276793836276,0.727379210665747,0.161544457257695,0.0141295836663389,0.0139092449559882,0.442822138372503,1.15550086221063,1.25824301304195,1.138628,373.649003,2061.628775,2596.845563,3371.254801,139.285173934088,48.33685,4.323807
Kazantzidis_i_12,261.117847997364,2378.50128655788,1596.54763870362,0.735975014143712,3.50771999463831,4.75162394507211e-08,0.161575333288205,3.74077097389339e-07,0.0097095408539171,5645.41667454741,0.747877714025852,0.0010386787002166,0.0035731707512435,0.210029177603105,0.109092704977184,0.680191986426801,1.56317089569038,0.1679536427713,0.0153787898107116,0.0166325298359295,0.465028044253013,0.826031496583665,1.15040794282918,1.041587,2169.797838,2626.212728,3545.879491,5118.551184,258.165568071138,36.507584,22.080572
Kazantzidis_i_13,129.357861965143,1348.28554854146,1215.18133572105,0.618599988688795,1.91978776084737,2.46057125378013e-09,0.313004061882723,1.27981057065965e-06,0.0086957111473477,3417.03109075853,0.77806093374648,0.0012439501618242,0.0020584295950258,0.0939209003826494,0.237928117895078,0.406097653659192,0.184280805963579,0.223198085157555,0.0020223756636436,0.0210610667492255,0.456322255344459,0.675988307552343,1.19143376920142,0.518169,260.855401,2063.637483,2675.858654,3463.961663,126.220069794041,48.81423,30.579376
Kazantzidis_i_14,196.296494053867,1743.9908877499,1219.5023648101,0.216841979025866,2.35013764840621,2.43233388473992e-10,0.190720321300851,1.62651091531936e-06,0.0056684568404776,3475.78940551342,0.810359202722609,0.000986389931107,0.004999782175821,0.282774486171237,0.29618124609021,0.287504528207174,1.32232465061333,0.201817487700059,0.022144008906756,0.0316185957068943,0.505400640540906,0.656625224569481,0.978636220603896,0.896944,334.420192,2119.074987,2442.946446,3367.78672,195.337847337422,54.879593,20.977592
