vowels,time_s,F1_Hz,F2_Hz,F3_HZ,F4_Hz,F0_Hz
Kazantzidis_a_8,0.910006,686.962646,1393.348371,2548.822415,3449.805334,189.0120273
Kazantzidis_a_9,0.505108,893.440904,1472.111582,2727.731858,3781.492949,278.6361196
Kazantzidis_e_1,1.375567,609.526403,1855.968647,2332.745518,3481.328638,214.2092692
Kazantzidis_e_10,1.022914,541.466292,1790.104418,2379.04561,3446.3273,189.0063565
Kazantzidis_e_11,1.169393,563.805869,1870.741719,3117.793344,3356.040519,185.7195873
Kazantzidis_e_2,0.625465,538.636594,1875.407301,2546.723691,3471.401712,231.0629203
Kazantzidis_e_3,0.753271,540.714654,1807.601004,2498.050975,3445.508859,252.5913513
Kazantzidis_e_4,0.792455,492.205669,1932.725263,2871.815062,3374.006662,208.915029
Kazantzidis_e_5,0.53123,443.747559,1905.07781,2589.640972,3614.40655,127.2415814
Kazantzidis_e_6,0.685159,490.936962,1897.32468,2416.435995,3425.59079,198.6352317
Kazantzidis_e_7,0.648781,442.375444,1941.376518,2506.816058,3498.769887,164.6051984
Kazantzidis_e_8,0.437041,632.519146,1767.28108,2742.708503,3556.123844,283.8758478
Kazantzidis_e_9,0.805516,531.530174,1842.315175,2508.765198,3368.782961,140.0557081
Kazantzidis_i_1,0.63572,413.261168,2276.879519,2293.310077,3416.623319,200.3173312
Kazantzidis_i_10,0.881077,511.26707,2101.405142,2746.009394,3405.3896,251.97317
Kazantzidis_i_11,1.138628,373.649003,2061.628775,2596.845563,3371.254801,139.2851739
Kazantzidis_i_12,1.041587,2169.797838,2626.212728,3545.879491,5118.551184,258.1655681
Kazantzidis_i_13,0.518169,260.855401,2063.637483,2675.858654,3463.961663,126.2200698
Kazantzidis_i_14,0.896944,334.420192,2119.074987,2442.946446,3367.78672,195.3378473
Kazantzidis_i_15,0.63572,400.947145,2191.951999,2513.305682,3419.719566,191.7324708
Kazantzidis_i_16,0.883883,392.841123,2131.714297,2543.894724,3557.559338,190.4416762
Kazantzidis_i_2,0.67771,356.312695,2213.774114,2551.984509,3463.434083,215.3668617
Kazantzidis_i_3,0.554546,358.838557,2069.324839,2471.459707,3366.158993,199.525336
Kazantzidis_i_4,0.544291,348.341797,2114.745419,2961.409438,3581.18923,233.5418069
Kazantzidis_i_5,1.00424,399.479503,2066.470675,2852.589723,3554.000793,295.4428618
Kazantzidis_i_6,0.651587,375.257484,2143.452179,2498.662628,3455.042073,196.4209977
Kazantzidis_i_7,0.673067,368.769145,2091.219462,2454.765439,3481.448755,170.1902274
Kazantzidis_i_8,0.933424,424.936918,2205.935685,3167.645458,3271.876049,143.5671884
Kazantzidis_i_9,0.789649,497.721302,2130.938795,2700.18694,3402.33659,217.5861232
Kazantzidis_u_1,0.645975,374.709485,936.601005,2722.596567,3438.194919,235.1506684
Kazantzidis_u_2,0.669291,513.067896,1010.060659,2862.803496,3455.688223,252.2723785
Kazantzidis_u_3,0.779393,484.446297,1386.84773,2273.514552,3662.354615,205.4515421
Kazantzidis_u_4,0.410918,442.968387,910.973095,2466.937159,3340.834813,193.8664481
Kazantzidis_u_5,0.644138,492.346754,1089.453386,2453.613147,3547.387447,211.1722879
Kazantzidis_u_6,0.627404,435.704841,1243.777695,2346.742859,2948.40355,191.7003818
Kazantzidis_u_7,0.450102,925.193322,1866.888662,3348.682717,3846.881773,259.0198095
Kazantzidis_u_8,1.185261,1039.480286,2242.073087,3704.817842,4013.518905,260.2699034
Kazantzidis_u_9,0.371735,681.970195,1094.209489,2409.435007,3687.382675,263.6081221
Kazantzidis_w_1,1.160975,574.033022,990.58396,2574.138852,3387.388356,224.962395
Kazantzidis_w_10,0.515363,636.028649,1098.741656,2443.246281,3358.615977,217.3877037
Kazantzidis_w_11,0.557353,664.458502,1193.611559,2632.377502,3490.875127,252.7443783
Kazantzidis_w_12,0.632914,1097.285344,2577.181066,3145.028047,3538.770156,217.2214799
Kazantzidis_w_13,0.515363,630.143453,1003.174472,2599.897791,3381.381915,195.1278508
Kazantzidis_w_14,0.912812,484.559823,1244.676151,2199.430859,3448.792883,129.2452333
Kazantzidis_w_15,0.80271,672.433585,1153.772004,2495.063003,3539.698648,253.2472067
Kazantzidis_w_16,0.683322,552.348309,1217.704902,2524.887493,3396.424908,166.3881064
Kazantzidis_w_17,0.463163,626.204445,1210.795985,3139.993846,3715.858407,238.7853272
Kazantzidis_w_18,1.00424,739.682477,1130.557248,2625.558831,3515.692537,193.9609591
