Row;Rate;Depth;Regularity
Pagioumtzis_a_21;5,7421875;0,064866448;0,58279825
Pagioumtzis_a_3;7,060066598;0,084854905;0,587046941
Pagioumtzis_a_4;8,910290948;0,027975189;0,128917744
Pagioumtzis_a_5;4,350142045;0,018760771;0,110153049
Pagioumtzis_a_6;1,595052083;0,986386814;0,378881598
Pagioumtzis_a_7;5,899507705;0,027110027;0,415951708
Pagioumtzis_a_8;10,3359375;0,007430435;0,560393996
Pagioumtzis_a_9;2,246942935;0,058665795;0,033863408
Pagioumtzis_e_1;7,060066598;0,091324877;0,836978517
Pagioumtzis_e_10;3,190104167;0,544587389;0,199619431
Pagioumtzis_e_11;1,493632587;0,099511662;0,363827474
Pagioumtzis_e_12;1,7578125;0,019364819;0,193342908
Pagioumtzis_e_2;6,009265988;0,011343342;0,366684293
Pagioumtzis_e_3;2,392578125;0,518177787;0,075695697
Pagioumtzis_e_4;7,3828125;0,173082161;0,512219799
Pagioumtzis_e_5;4,533305921;0,130774329;0,579807569
Pagioumtzis_e_6;4,379634534;0,190442514;0,559322754
Pagioumtzis_e_7;8,910290948;0,038396844;0,754558729
Pagioumtzis_e_8;8,910290948;0,03591073;0,898052177
Pagioumtzis_e_9;3,69140625;0,053945755;0,093310354
Pagioumtzis_i_1;4,439835696;0,029899049;0,122134075
Pagioumtzis_i_10;12,3046875;0,013461148;0,36628359
Pagioumtzis_i_11;12,3046875;0,013461148;0,36628359
Pagioumtzis_i_12;7,3828125;0,020330234;0,490218672
Pagioumtzis_i_13;2,734375;0,01859993;0,012970954
Pagioumtzis_i_14;2,839543269;0,038195907;0,255494204
Pagioumtzis_i_15;4,379634534;0,365945641;0,638440602
Pagioumtzis_i_2;1,037744729;0,060524523;0,342236929
Pagioumtzis_i_3;7,3828125;0,071162519;0,693202633
Pagioumtzis_i_4;2,100800305;0,22502234;0,277028508
Pagioumtzis_i_5;5,066636029;0,036983362;0,875661047
Pagioumtzis_i_6;3,588867188;0,049448407;0,450222834
Pagioumtzis_i_7;1,163956926;0,153449853;0,158993486
Pagioumtzis_i_8;11,23471467;0,024871124;0,386130599
Pagioumtzis_i_9;3,259079392;0,017558038;0,195002657
Pagioumtzis_u_1;9,5703125;0,018949467;0,502876855
Pagioumtzis_u_2;2,164141018;0,039710011;0,109735448
Pagioumtzis_u_3;4,78515625;0,013906399;0,119009994
Pagioumtzis_u_4;6,4453125;0,03766724;0,396119226
Pagioumtzis_u_5;5,300480769;0,033398834;0,360595228
Pagioumtzis_u_6;1,7578125;0,104421077;0,018672314
Pagioumtzis_w_1;6,302400915;0,011602569;0,26170747
Pagioumtzis_w_10;2,05078125;2,150050493;0,517413722
Pagioumtzis_w_11;4,1015625;1,000300655;0,187437322
Pagioumtzis_w_12;4,78515625;0,070251048;0,841211216
Pagioumtzis_w_13;6,302400915;0,059754262;0,11397699
Pagioumtzis_w_14;5,7421875;0,096415573;0,445144917
Pagioumtzis_w_15;6,625600962;0,045404068;0,23699344
Pagioumtzis_w_16;8,7890625;0,789274369;0,124945411
Pagioumtzis_w_17;6,302400915;0,129871569;0,525133921
Pagioumtzis_w_18;2,778477823;1,027840938;0,229849721
Pagioumtzis_w_19;3,539704623;0,694708909;0,154107796
Pagioumtzis_w_2;2,610085227;0,143116676;0,598286244
Pagioumtzis_w_3;5,352886653;0,044284251;0,150659262
Pagioumtzis_w_4;5,617357337;0,538283;0,118959981
Pagioumtzis_w_5;10,3359375;0,056907453;0,743237494
Pagioumtzis_w_6;2,327913851;1,00503893;0,260501579
