SoundFile,Pitch,SpectralCentroid,SpectralSpread,SpectralSkewness,SpectralKurtosis,SpectralFlatness,SpectralCrest,SpectralSlope,SpectralDecrease,SpectralRollOff,SpectralVariation,SpectralFlux,HarmonicSpectralDeviation,Tristimulus_1,Tristimulus_2,Tristimulus_3,HarmonicOddToEvenRatio,Inharmonicity,HarmonicEnergy,NoiseEnergy,Noisiness,HarmonicToNoiseEnergy,PartialsToNoiseEnergy
Bellou_w_6,337.261523819936,913.247651165955,771.333276307323,2.1957758277044,8.15879322490571,3.22258892894557e-07,0.321576619076313,-2.34532667040593e-07,0.033512168092737,2570.60585017325,0.619467574916077,0.0034922524454905,0.00565327705610774,0.348913250443618,0.572924160970551,0.0766039376420322,1.30563395000405,0.0579662635302737,0.0291674123527797,0.0225454278335986,0.439591421994192,1.24331977454483,1.27483988732506
Bellou_w_7,382.078145465911,1307.70261937182,923.099259177898,1.87362110705783,5.55452599024869,1.95361184930393e-10,0.471506217938995,3.07988476364775e-06,0.0261049039556231,4293.66182663645,0.340143768481075,0.00290058152530059,0.0129358572079375,0.0483392370903766,0.817316150102113,0.140850946262155,0.230147388880618,0.0556188921111389,0.03917308805041,0.0291205174876288,0.428668192390514,1.32981380529881,1.33280669578916
Bellou_w_8,274.178947417538,1153.77169631195,922.063260449284,1.93596834191247,6.14579613443248,3.34870749033223e-07,0.323214052883953,-3.46749085144046e-07,0.0407099110975024,3265.94313398225,0.585776414314922,0.00345546802493164,0.00819283817161084,0.181562105887774,0.675735910800914,0.126623184571135,0.424902323668088,0.0763627309403806,0.0208187229926217,0.018923086105085,0.453754998463954,1.18631553825438,1.20383273738309
Bithikotsis_a_1,255.670279920523,1787.20945642477,1110.33448836091,1.18844597624824,4.62409915911284,1.68106248319233e-10,0.242979847558157,1.63861772401106e-06,0.00826302154743197,6305.40436964523,0.59264206303305,0.00110178612630177,0.00868913174865808,0.06064923395461,0.266520904712211,0.668743220871019,0.354112419743856,0.101029939756254,0.0264271698440486,0.0231687154907705,0.45834993008595,1.13939618009254,1.18173920082531
Bithikotsis_a_10,293.348944151136,1420.339222109,829.834994722445,1.81161078155753,7.03357708269548,8.11881677893588e-08,0.231978655161227,5.21992022115774e-07,0.0169428538483483,3980.49344272266,0.709669548164713,0.00173955146724267,0.00531388843450374,0.0954236521057412,0.616189375878653,0.164442593247925,2.1140013706563,0.157962037800678,0.0053854854066534,0.0254254585418032,0.536765078411308,0.581093588267881,0.86301240565565
Bithikotsis_a_2,244.47739438975,1786.37806906882,1238.36801477967,1.44727868621348,5.24382266924807,9.66519949121418e-09,0.167506233094718,8.14582495640102e-07,0.00842743119041238,3893.576495672,0.683337798692372,0.00103833375545228,0.00580292729527287,0.0732497003602187,0.32610484039803,0.584263083449416,1.01281219785625,0.139351961647443,0.0171491099984053,0.023258462279827,0.467742461567906,0.767666605173319,1.13794542109792
Bithikotsis_a_3,192.70149164721,1634.15770590529,1186.55590811177,1.06141701337383,3.55873803955608,1.33797549885341e-09,0.174154938940125,7.65675339997324e-07,0.00768790716800637,8398.28556248654,0.57172026734192,0.000779504364500336,0.00410519848059937,0.102208537762751,0.424927650512569,0.400145414980213,0.741174621213681,0.146279648817237,0.013389395701132,0.0177670259642114,0.473911962205514,0.877715201994129,1.11009655748328
Bithikotsis_a_4,297.014714505252,1305.62209913768,854.360838748595,1.83313477304155,6.35660188123574,3.66730470873022e-10,0.35637677197588,1.9898520297334e-06,0.0152104990117666,3360.06764351265,0.661741145000002,0.00234616725892045,0.0155544452739677,0.0546314371773,0.679812597946703,0.253173896740129,7.19023210056308,0.114407024132414,0.0319655529217694,0.032729381614778,0.498269339168104,0.906255705299527,1.00694668804942
Bithikotsis_a_5,185.815099242764,1497.08914451464,995.357477675203,1.10839996784279,3.39199686995488,4.74989892555321e-06,0.147436586756176,3.91759603698615e-08,0.0168644707891849,2565.19728239323,0.59432215715769,0.000970818416403033,0.00224189566936773,0.0845633291981967,0.387162381542095,0.496600068673095,0.742138236694692,0.198154859636595,0.00231771682969211,0.0125406182976582,0.517916388065912,0.561181851924771,0.930813594470664
Bithikotsis_a_6,221.483783569037,1326.45684451406,841.455412652178,1.54386336047838,5.18477282204694,4.47262929521086e-10,0.244129319120138,1.78842395581326e-06,0.0113012909346663,5123.16992354194,0.582983356518648,0.00112998326144152,0.00546146357056015,0.0576958542817409,0.493377587307214,0.356398497013183,0.671719019012482,0.142227693478174,0.014084862729498,0.0181338104618258,0.476278008683207,0.892214293977584,1.09961405265122
