,Pitch,SpectralCentroid,SpectralSpread,SpectralSkewness,SpectralKurtosis,SpectralFlatness,SpectralCrest,SpectralSlope,SpectralDecrease,SpectralRollOff,SpectralVariation,SpectralFlux,HarmonicSpectralDeviation,Tristimulus_1,Tristimulus_2,Tristimulus_3,HarmonicOddToEvenRatio,Inharmonicity,HarmonicEnergy,NoiseEnergy,Noisiness,HarmonicToNoiseEnergy,PartialsToNoiseEnergy,F1_Hz,F2_Hz,F3_HZ,F4_Hz,Rate,Depth,Regularity,x,y,z
SpectralFlux,0.1159762865469187,-0.3583891116565335,-0.31076188333797944,0.3233173429202243,0.3027021785051698,0.07778543702674608,0.5071182391961412,-0.4764774006695647,0.6676474584446614,-0.24404742516158193,0.06900437872076082,1.0,0.39146934088084356,0.2970172663023782,0.1951011505198885,-0.4117370448374875,0.022687053829592865,-0.37484018654231227,0.5404599898640865,0.5137304316957255,-0.25076754011668206,0.32821399699252823,0.26407822026498934,-0.16486056780961272,-0.15563945038700983,-0.021227707787162146,-0.06864152328061553,0.24908620071102275,-0.21301898908176925,0.24004616355313693,0.20112137367220703,0.3970289195360513,-0.36413847097974467
HarmonicSpectralDeviation,0.3019349853479479,-0.2595286185811136,-0.38214070300012565,0.23904981073798592,0.21739410907382667,-0.02922449046547367,0.6628444511496718,0.09601751552876116,0.45802559129938464,-0.14252457474585706,-0.3852028493370986,0.39146934088084356,1.0,0.008472428833769802,0.40206965024459895,-0.31077171667107256,0.10730082203585596,-0.5637671590192558,0.7501425106657199,0.6578212000736137,-0.37108928451236595,0.525912039840652,0.3908487259853915,0.019756090558684696,-0.16685142925480326,0.047872565240701735,-0.001821315716064834,0.12374276512020287,-0.15587966134654188,0.031067403666434578,0.22183183818760419,0.21599589767098895,-0.3209655022362422
Tristimulus_1,0.427344784687826,-0.0022725938009285087,0.06741313787621264,-0.11932252338419545,-0.03375066870070572,0.06018316670800039,0.31187427800330214,-0.1721770426125479,0.3000142051073452,-0.036868815561892726,0.23232366069533827,0.2970172663023782,0.008472428833769802,1.0,-0.3508358037467228,-0.44903562798974783,0.5281004602232918,-0.25575213407312375,0.22092151937228924,0.2332937852947132,0.08424347080641248,0.09925141420514794,-0.07042329316637735,-0.34749973224346825,0.20322151965248028,0.04435151805948196,0.05817312399453688,0.17665799338302274,-0.19835761597415513,0.1838330511601023,0.42382029598381293,0.15310970768920704,-0.09556911083666192
Tristimulus_2,0.048469490195270394,-0.5018052826526928,-0.43917374595052366,0.5416885512751511,0.3704921407213094,-0.04489198411128406,0.36483256839857475,-0.048302877071774,0.1950056087700969,-0.2593431799522573,-0.2466776634837662,0.1951011505198885,0.40206965024459895,-0.3508358037467228,1.0,-0.6155207833898309,-0.321119123770112,-0.3139946392328366,0.28103494849618355,0.2158389459406972,-0.22893112459112974,0.27410960005548285,0.22333412767003105,0.08514222915216012,-0.4252067851225659,0.05090068858477348,-0.062173028618019675,0.02747865654765,-0.06586822336376026,0.02002926940661415,0.08353737965176146,0.11673308820409586,-0.053143030821012106
Tristimulus_3,-0.32360775763493754,0.5240225201367607,0.3961812109647387,-0.4455082111041084,-0.365655953378142,-0.0011729827648868428,-0.6074578571126279,0.22999588223962678,-0.4342810012359659,0.318132649541716,0.04424590494332845,-0.4117370448374875,-0.31077171667107256,-0.44903562798974783,-0.6155207833898309,1.0,-0.11133012056411823,0.34808620416277586,-0.3430836893572133,-0.3726211055908979,0.07009134363544169,-0.19169119260741097,-0.07344639148711579,0.2565491015403881,0.22904004814140513,-0.01863965739715475,0.03719803108821752,-0.1558316127271858,0.1448285993578001,-0.19183001884797973,-0.3653198041262072,-0.27815823314390853,0.11034652241175011
HarmonicOddToEvenRatio,0.21258833650302178,-0.0073086907642074764,-0.01610581737880727,-0.04656472293233779,0.015705883338295413,-0.009068931458833992,0.27128905455534186,-0.04672186803633626,0.23599706175876,-0.06382051094834633,-0.06644106050484162,0.022687053829592865,0.10730082203585596,0.5281004602232918,-0.321119123770112,-0.11133012056411823,1.0,-0.15669070389713863,0.19770296056395426,0.2084713237220413,-0.030817077733485587,0.07786464863523863,0.039947399947733324,-0.16012839830870543,0.11181705489642235,0.06262518161899074,0.08028076184558122,0.03994432538524662,-0.04407625413232608,0.03562560995953201,0.21073921662305542,0.07031934998445558,-0.0602618134962972
Inharmonicity,-0.39385987786099325,0.1938470995737926,0.14148628328522958,-0.20445554611884584,-0.14829897207206838,0.041282340386816926,-0.5259447261493904,0.0013731305868395246,-0.3278072148359859,-0.010666084639595175,0.05992912700604856,-0.37484018654231227,-0.5637671590192558,-0.25575213407312375,-0.3139946392328366,0.34808620416277586,-0.15669070389713863,1.0,-0.6458795649394038,-0.3234016491077185,0.6169739542348924,-0.8183059606648866,-0.6041546128374423,-0.03250487310618459,0.12261697833269501,-0.1603475486255714,-0.07099219706828588,-0.09844871175405358,0.28095785023321884,-0.015055085044372269,-0.40617267647603594,-0.09482655264616126,0.2199842513698935
HarmonicEnergy,0.14959424489496592,-0.3716919204977409,-0.3221898832416574,0.31164488797412304,0.25261094252282207,-0.0034071908143460013,0.6794100470760902,-0.15928842580673894,0.5379139812756923,-0.16328300536467003,-0.37202668528618965,0.5404599898640865,0.7501425106657199,0.22092151937228924,0.28103494849618355,-0.3430836893572133,0.19770296056395426,-0.6458795649394038,1.0,0.8022108586207863,-0.5679140544196607,0.7253747060276646,0.6031523585758711,-0.16564003489741586,-0.10920902520480523,-0.07263913392733802,-0.020523612108679208,0.12252588053548337,-0.22330072173343282,0.11580326537214894,0.14944139030612277,0.3295279873067847,-0.45654862242822625
NoiseEnergy,0.22916377550102182,-0.2719553455422599,-0.301950094946936,0.2789561105735461,0.24290255895598645,0.02779345187977761,0.5636557178561872,-0.14332393192885978,0.4334697503112792,-0.16361355416596007,-0.20053617719370867,0.5137304316957255,0.6578212000736137,0.2332937852947132,0.2158389459406972,-0.3726211055908979,0.2084713237220413,-0.3234016491077185,0.8022108586207863,1.0,-0.1567107864483154,0.28685659729115714,0.18979633668379176,-0.10058460926281647,-0.0879524094504903,-0.09591741924028988,-0.001299762183711468,0.1742364428916989,-0.18525991558344373,0.21984509382371348,0.12108299485067764,0.3530705169584515,-0.34963723815395065
Noisiness,0.31328122015368143,0.5227592274629199,0.32544998307713874,-0.33643145040671263,-0.24199039969283978,0.14661378096389588,-0.45801484643180523,0.027810625991891626,-0.28045736219164147,0.1761527113714899,0.41083261083398576,-0.25076754011668206,-0.37108928451236595,0.08424347080641248,-0.22893112459112974,0.07009134363544169,-0.030817077733485587,0.6169739542348924,-0.5679140544196607,-0.1567107864483154,1.0,-0.8386077435491326,-0.9902785270916113,0.21698699444680195,0.16694649734400147,0.06497329662773431,0.09151944884884532,0.07078732562655639,0.07531995778562377,0.105464028060145,0.10910484112349278,-0.05013382807650584,0.3649931248752211
